Age,Income,Purchase
76,75071,1
88,62405,0
82,61914,1
81,66843,1
62,30492,0
82,65714,1
53,58360,0
88,60818,0
91,48643,0
79,41295,1
59,63484,1
20,62642,0
28,45547,0
54,31093,0
19,49592,0
18,39830,1
32,67357,1
61,73351,1
90,69377,1
75,20784,1
87,33403,1
88,72322,1
19,25801,1
68,63016,1
32,38711,0
70,30647,0
41,60941,1
43,66214,1
68,38070,1
44,65681,1
51,52352,0
50,45199,1
41,42399,0
20,54663,0
61,28716,0
32,38589,0
41,76958,1
20,60111,1
59,20190,0
40,53828,0
65,61919,0
51,66760,1
79,70132,0
40,25600,1
93,61976,1
44,76491,1
77,53986,0
86,24495,1
89,5,0
76,97,0
24,71407,1
18,58754,0
21,41357,1
79,65017,1
74,55743,1
23,22961,0
20,59384,1
67,36482,0
76,22049,0
79,98,0
89,68404,1
80,31969,1
70,33,1
20,52097,1
78,31111,1
61,55777,1
26,27455,0
127,70,0
72,27400,1
89,56631,0
79,46641,1
30,65236,1
20,57410,0
126,33,0
22,60447,0
49,43355,0
49,72102,1
122,84,0
21,79040,1
56,26295,1
49,69758,1
18,75006,1
54,47643,0
79,44736,1
39,67025,1
31,58467,1
52,54,1
92,24780,1
47,40445,1
71,69689,1
56,60328,1
31,49299,0
68,56212,1
45,72479,1
73,22368,0
19,66940,1
90,24499,1
34,32039,1
19,39190,1
25,34373,1
61,70108,1
19,36646,1
53,20301,1
38,21154,1
38,51065,1
66,65936,1
89,55153,0
92,28155,0
120,20,0
71,66975,0
80,63525,1
19,32533,0
64,76835,1
32,43078,0
28,70845,1
55,26655,0
80,26893,0
79,40932,1
79,20569,0
55,50306,0
25,37429,1
45,70336,1
128,46,0
37,33121,1
53,30966,1
60,23420,0
29,74045,1
31,28208,0
76,42,0
36,70993,1
68,35151,1
47,77471,1
90,75766,1
69,47751,1
77,25539,1
35,22869,0
52,29007,0
58,25895,0
21,22200,1
139,28,0
19,52711,0
77,58191,1
57,23987,1
26,32874,0
58,40880,0
85,44376,1
70,70800,1
52,67333,1
19,41918,1
33,42386,1
138,68,0
32,73645,0
94,58210,1
39,31835,1
69,54177,1
50,28754,1
38,57504,1
145,16,0
44,43093,0
76,78510,1
21,52635,1
138,26,1
76,36538,0
22,30677,1
79,24014,1
24,50746,0
59,51616,1
73,59974,1
79,49124,1
87,15,0
41,28120,0
92,54584,0
94,37453,1
45,39738,0
32,64064,1
87,84,1
18,83,0
26,78587,1
77,32183,0
46,51216,0
52,22557,0
92,21802,0
81,72322,1
65,43328,1
26,65525,0
77,75439,1
70,78871,0
79,52745,0
72,65091,1
23,26102,0
45,74240,1
79,72260,1
83,78483,1
139,31,0
25,86,0
61,60764,1
64,49855,1
46,24735,0
29,60864,1
64,68354,1
